"Key","Link","Title","Status","Points","Description","Assignee","Created","Epic"
"CT-6583","https://caretracker.atlassian.net/browse/CT-6583","Custom Lab Extract - Argus - ","Dev Ready","","h1. CareMore Supplemental Data Exchange Report Request - CAS-619899-K2V9V6 According to Christine this will be for all providers that participate in the Anthem PAHAF program - Prohealth only. Originally it across all of Argus but Christine confirmed this is just Prohealth. !image-20260914-195227.png|width=727,alt=""image-20260914-195227.png""!","John Hobby","2026-09-14 15:55:23 Eastern Daylight Time",""
"CT-6530","https://caretracker.atlassian.net/browse/CT-6530","REVIEWED BACKLOG","Dev Ready","",,"Paul Charest","2026-09-09 14:51:20 Eastern Daylight Time",""
"CT-6529","https://caretracker.atlassian.net/browse/CT-6529","Can't unselect / Remove item from the list in Reason Reference field.","Closed","","Once the item is selected, user is unable to clear/remove or unselect the item. If user wants to completely clear the field or doesnâ€™t want any item to be selected. Note : Attachment is added.","Hamza HA. Aman","2026-09-09 12:10:15 Eastern Daylight Time",""
"CT-6520","https://caretracker.atlassian.net/browse/CT-6520","Unsigned Notes Report","Closed","","*Unsigned Notes Report*- For Access Healthcare pcid# 12819. This report is available in report section : Reports>Medical Records>Other Reports>Global-Unsinged and cosigned notes.Â Requesting CT run a one-time report, for the past 2 years data. Thank you ","Paul Charest","2026-09-08 11:09:15 Eastern Daylight Time",""
"CT-6516","https://caretracker.atlassian.net/browse/CT-6516","CAIR2 Direct Connection VXU, QBP and RSP Research - Replacing Iron Bridge","Closed","","h2. Objective Determine what is required for IRIS to connect directly to CAIR2 (California Immunization Registry) for VXU submission, and to add QBP/RSP bidirectional query capability, with the goal of removing Iron Bridge as middleware for California traffic. Current path: CareTracker â†’ IRIS â†’ Iron Bridge â†’ CAIR2 Target path: CareTracker â†’ IRIS â†’ CAIR2 h2. Background Iron Bridge currently sits between IRIS and the state immunization registries as secondary middleware, connected over F","Unassigned","2026-09-08 09:35:07 Eastern Daylight Time",""
"CT-6482","https://caretracker.atlassian.net/browse/CT-6482","B19 Stand up PostgreSQL observability","Dev Ready","","Out: pg_stat_statements, autovacuum and bloat monitoring, connection saturation, replication lag, and alerting on long-running transactions Done: the same questions we can answer about Oracle today can be answered about PostgreSQL","John Hobby","2026-09-04 16:37:48 Eastern Daylight Time","CT-6437"
"CT-6481","https://caretracker.atlassian.net/browse/CT-6481","B18 Configure statistics and autovacuum","Dev Ready","","Out: ANALYZE as mandatory post-load step, and autovacuum tuned for the write volume at this size Done: no query is measured before statistics exist. A freshly loaded cluster with no statistics produces plans that mean nothing","John Hobby","2026-09-04 16:37:46 Eastern Daylight Time","CT-6437"
"CT-6480","https://caretracker.atlassian.net/browse/CT-6480","B17 Define the bulk load procedure","Dev Ready","","Out: a load sequence with constraints, indexes and triggers disabled, then built and validated afterwards Done: the procedure is timed on a sample, and every sequence is advanced past the maximum loaded value. A missed sequence reset is a primary key violation on the first insert after cutover","John Hobby","2026-09-04 16:37:45 Eastern Daylight Time","CT-6437"
"CT-6479","https://caretracker.atlassian.net/browse/CT-6479","B16 How much of the data is LOB","Dev Ready","","Out: the LOB share of the roughly 30 TB, with a size distribution Done: we know whether bytea holds, materialises the whole value in memory and caps at 1 GB, and LOBs are the slowest part of any transfer","John Hobby","2026-09-04 16:37:44 Eastern Daylight Time","CT-6437"
"CT-6478","https://caretracker.atlassian.net/browse/CT-6478","B15 Define connection pooling","Dev Ready","","Out: a pooling design, most likely PgBouncer in transaction mode, sized against the call-site count and the app servers Done: the design names what breaks under transaction pooling: session temp tables, prepared statements, advisory locks and SET state. PostgreSQL runs a process per connection and will not take the Oracle connection pattern as-is","John Hobby","2026-09-04 16:37:43 Eastern Daylight Time","CT-6437"
"CT-6476","https://caretracker.atlassian.net/browse/CT-6476","B13 Decide the cluster encoding and collation","Dev Ready","","Out: the encoding and collation the PostgreSQL cluster is created with, and the expected differences in text sort order against Oracle NLS Done: written down and reviewed. This is set at initdb and changing it later means rebuilding the cluster, so it happens before any data lands","John Hobby","2026-09-04 16:37:40 Eastern Daylight Time","CT-6437"
"CT-6474","https://caretracker.atlassian.net/browse/CT-6474","B11 Define the audit structure and strategy","Dev Ready","","Out: a written audit design covering database-level and application-level logging, retention and access Done: signed off by security, pgAudit is one input, not the answer","John Hobby","2026-09-04 16:37:38 Eastern Daylight Time","CT-6437"
"CT-6473","https://caretracker.atlassian.net/browse/CT-6473","B10 Scale the CDC capture","Dev Ready","","{color:#ff5630}*After B1 B2*{color} Done: the pre-seed plus catch-up path is proven end to end","John Hobby","2026-09-04 16:37:35 Eastern Daylight Time","CT-6437"
"CT-6472","https://caretracker.atlassian.net/browse/CT-6472","B9 Size the cutover window against the data volume","Dev Ready","","{color:#bf2600}*Complete after B1 and B16*{color} Out: a roughly 30 TB measured transfer time for roughly 30 TB Done: we know whether a bulk move fits in any window. The current box caps at 1 Gb, which is about 68 hours at line rate","John Hobby","2026-09-04 16:37:31 Eastern Daylight Time","CT-6437"
"CT-6471","https://caretracker.atlassian.net/browse/CT-6471","B8 Stand up interface connections in the lower environments","Dev Ready","","{color:#ff5630}*Lanying & unassigned after B1 and S13*{color} Out: IRIS and Aptarro reachable from test and QA Done: a message round-trips through each interface in test","John Hobby","2026-09-04 16:37:23 Eastern Daylight Time","CT-6437"
"CT-6470","https://caretracker.atlassian.net/browse/CT-6470","B7 Decide what QA hardware we repurpose","Dev Ready","","{color:#ff5630}*AFTER B6*{color} Done: the decision is written down and the hardware is reserved","John Hobby","2026-09-04 16:37:20 Eastern Daylight Time","CT-6437"
"CT-6468","https://caretracker.atlassian.net/browse/CT-6468","B5 Take the gold template backup","Dev Ready","","{color:#ff5630}*After B3 and B4*{color} Done: a restore from it has been run","John Hobby","2026-09-04 16:37:14 Eastern Daylight Time","CT-6437"
"CT-6467","https://caretracker.atlassian.net/browse/CT-6467","B4 Close the last 5 to 10%","Dev Ready","","{color:#ff5630}*COMPLETE AFTER B1 AND B2*{color} Done: no object type sits below 100%","Remya RR. Rajan","2026-09-04 16:37:12 Eastern Daylight Time","CT-6437"
"CT-6466","https://caretracker.atlassian.net/browse/CT-6466","B3 Convert the untouched queue","Dev Ready","","{color:#ff5630}*COMPLETE AFTER B1 AND B2*{color} Out: sequences, triggers, packages and Oracle jobs Done: everything compiles in PG and the counts match Oracle","Remya RR. Rajan","2026-09-04 16:37:08 Eastern Daylight Time","CT-6437"
"CT-6464","https://caretracker.atlassian.net/browse/CT-6464","B1 Stand up PG DEV, QA and PROD","Dev Ready","","{color:#ff5630}*COMPLETE AFTER B13*{color} *Out:* Three reachable instances with backups, stated RPO and RTO, encryption at rest, and the superuser key held by Lanying, Remya and John in vault Done: a restore has been run on each","John Hobby","2026-09-04 16:37:02 Eastern Daylight Time","CT-6437"
"CT-6450","https://caretracker.atlassian.net/browse/CT-6450","RevSpring - API Failed Attempt Response Code","Dev Ready","","h3. Impact When patients fail to log into the RevSpring portal by entering incorrect information, the failed attempt is not documented. This means login attempt activity is not logged in RevSpringâ€™s application. h3. Expected behaviour Failed login attempts should be documented in the RevSpring portal when incorrect information is entered. h3. Actual behaviour RevSpring Development found that the system is responding with HTTP response code 400. Their application does not log entries into the l","Unassigned","2026-09-03 16:07:04 Eastern Daylight Time",""
"CT-6433","https://caretracker.atlassian.net/browse/CT-6433","Generate PostgreSQL sequences from Oracle (bulk) + cutover value capture","Closed","","Production has 1,349 sequences; the tracker shows 0 complete. Lowest-effort item in the epic - mostly generation, not analysis. Scope: # Bulk-generate CREATE SEQUENCE statements for all ~1,349 sequences (name, increment, min/max, cache, cycle) from DBA_SEQUENCES. # HARD RULE - do not set START values from old analysis or QA. Oracle's DBA_SEQUENCES.LAST_NUMBER reflects the last cached value, not the last issued one. Capture real current values from the live production primary at actual cutover ti","Unassigned","2026-09-02 11:41:34 Eastern Daylight Time","CT-6432"
"CT-6428","https://caretracker.atlassian.net/browse/CT-6428","When creating a claim with a patient with only 1 insurance, relationship is populating in 59B.","Dev Ready","","When doing a primary claim for a patient with a single insurance, a relationship code is populating in box 59B and C when it shouldnâ€™t. Co: 13093 EID: 87680383 Claim ID: 147262324 !image-20260901-202704.png|width=810,alt=""image-20260901-202704.png""! {{<FL58_A_INSUREDS_NAME>Patterson, Carly</FL58_A_INSUREDS_NAME><FL58_B_INSUREDS_NAME></FL58_B_INSUREDS_NAME><FL58_C_INSUREDS_NAME></FL58_C_INSUREDS_NAME><FL59_A_PAT_REL_TO_INSURED>01</FL59_A_PAT_REL_TO_INSURED><FL59_B_PAT_REL_TO_INSURED>01</FL59_B_","Mark Goodwin","2026-09-01 16:02:28 Eastern Daylight Time",""
"CT-6417","https://caretracker.atlassian.net/browse/CT-6417","The Transaction Scrubber Alert goes away when we switch tab or click elsewhere","Dev Ready","","When in Bulk Charges and the system is set to scrub, if the scrubber fails, an alert appears. For the alert, we have two options, click ok or cancel and based on that a change is made. If I tab out to another chrome tab or click elsewhere, the alert disappears and I have no idea what the behaviour is.","Frank Carvajal M","2026-09-01 07:37:48 Eastern Daylight Time",""
"CT-6413","https://caretracker.atlassian.net/browse/CT-6413","S12 Find which Crystal templates are actually used (Needs done ASAP)","Dev Ready","","*Owners:* John Hobby & Robert Buckley *Out:* * a usage count against the 2, 624 definitions *Done:* * We know how many reports have to be touched, NOT how many exist","Robert Buckley","2026-08-31 17:38:57 Eastern Daylight Time","CT-6397"
"CT-6408","https://caretracker.atlassian.net/browse/CT-6408","S9 Capture the Oracle baseline (After S8) ","Dev Ready","","*Out:* * Tier 1 Workflows stored: ** Expected rows ** Expected values ** Expected timings *Done:* * The capture re-runs and produces identical results twice ** Completed re-run #1 ** Completed re-run #2 ** Identical results on Re-Run 1 and 2","John Hobby","2026-08-31 16:38:16 Eastern Daylight Time","CT-6438"
"CT-6407","https://caretracker.atlassian.net/browse/CT-6407","Hold Reason restriction within CPN tree","Closed","","h3. Issue Hold reason editing is not restricted correctly by CPN tree access. Users with access to multiple CPN companies can edit a hold reason in a broader company list than they should. This can affect which companies are available for selection. h3. Expected behaviour When a hold reason is edited, the company dropdown should only allow selection within the Hold Reason creation primary CPN company and the companies and groups the operator has access to. For this case: * Only Nexus billing CPN","Unassigned","2026-08-31 16:35:22 Eastern Daylight Time",""
"CT-6392","https://caretracker.atlassian.net/browse/CT-6392","Schedule in CT and AC not mapping - CAS-619920-Z3K8Z7","Closed","","CAS-619920-Z3K8Z7 Berwald Surgical Medical Inc. 15354 Appointments are not crossing over into AC. Can you please review these examples and see if there are any issues on our end? Thanks! Â Patient: 97125640 appointment on 08/31 booked on 08/26 at 12:02 PM Patient: 97125641 appointment on 08/31 booked on 08/26 at 12:02 PM Patient: 97124118 appointment on 08/31 booked on 08/27 at 11:45 AM","Benjamin Martelle","2026-08-31 10:29:10 Eastern Daylight Time",""
"CT-6390","https://caretracker.atlassian.net/browse/CT-6390","HealthQuest Esoterics - Missing Results Investigation ","Development","","From: Sanjay Sembhi [s.sembhi@hqesoterics.com|mailto:s.sembhi@hqesoterics.com] Sent: Friday, August 28, 2026 4:37 PM To: Benjamin Martelle [BMartelle@harriscomputer.com|mailto:BMartelle@harriscomputer.com]; Judy Theung [JTheung@harriscomputer.com|mailto:JTheung@harriscomputer.com] Cc: Pegi Comer [pcomer@prohealthpartners.com|mailto:pcomer@prohealthpartners.com]; Esmeralda Arias [earias@prohealthpartners.com|mailto:earias@prohealthpartners.com]; Evan Swe [e.swe@hqesoterics.com|mailto:e.swe@hqesot","Benjamin Martelle","2026-08-31 07:57:38 Eastern Daylight Time",""
"CT-6367","https://caretracker.atlassian.net/browse/CT-6367","RevSpring Payment Window not working for one Group","Closed","","h3. Summary The RevSpring payment window is not working for one group. Users are seeing a different window instead of the expected RevSpring window when entering payments. h3. Context RevSpring information was added to the CC Processing tab for this group. Implementation met with RevSpring, and the RevSpring Team confirmed that all entered information is correct. h3. Acceptance criteria * The RevSpring payment window should appear when users enter payments for this group. * The correct window sh","Andrew Fijalkowski","2026-08-27 13:51:38 Eastern Daylight Time",""
"CT-6351","https://caretracker.atlassian.net/browse/CT-6351","New CareTracker Group Needs to be Connected to and from their Amazing Charts - Ajay K Bindal, MD PA","Development","","Company: Ajay K Bindal, MD PA - 15322 Existing Group - Ajay K Bindal, MD PA (20004) New Group that needs to be configured to connect to their Amazing Charts - SHIVANI BINDAL MD PLLC (21290) New Place of Service ","Benjamin Martelle","2026-08-26 13:15:17 Eastern Daylight Time",""
"CT-6350","https://caretracker.atlassian.net/browse/CT-6350","Access sftp site","Closed","","For Access' sftp folder, can we see who is running the jobs and/or who has access to the folder?","Unassigned","2026-08-26 12:03:39 Eastern Daylight Time",""
"CT-6349","https://caretracker.atlassian.net/browse/CT-6349","Unsigned notes report","Closed","","Please run the unsigned notes report for Access for the past two years. This is a one time only request. !image-20260826-160008.png|width=315,alt=""image-20260826-160008.png""!","Unassigned","2026-08-26 12:00:22 Eastern Daylight Time",""
"CT-6339","https://caretracker.atlassian.net/browse/CT-6339","SDoH Health Concerns section is incomplete/throws an error when a progress note is generated via the PDF Export","Dev Ready","","SDoH Health Concerns section is incomplete/throws an error when a progress note is generated from the PDF Export *Scenario 1* * Log into the CareTracker Support module on dev * Put the following company in context: East Side Urgent Care * Launch into the company * Click the Administration tab * Click the Clinical tab * Click the Full EHR Export (PDF) link * Select the Pt. with Encounter radio button * Enter the following Date Range: From â€˜8/23/2026â€™ To â€˜8/25/2026â€™ * Enter the following P","Unassigned","2026-08-25 14:59:48 Eastern Daylight Time",""
"CT-6332","https://caretracker.atlassian.net/browse/CT-6332","Need to know where from Statement phone number field is pulling value (800-804-7996)","Closed","","Client United Hospitalist (Case AG-CRM:01952755) reported that patient statements display an incorrect phone number in the ""For Billing Questions"" section of the statement. The number displaying is 800-804-7996. Internal research confirmed this number is not pulling from the areas where CareTracker would usually complete phone setup for statements. The number 800-804-7996 has been confirmed present in the raw file sent to SecureConnect before it reaches the vendor, meaning CareTracker is generat","Unassigned","2026-08-24 17:39:15 Eastern Daylight Time",""
"CT-6323","https://caretracker.atlassian.net/browse/CT-6323","Modernization Ideas for Review","Closed","","Epic is a holding area for any stories that Kelly or Paul come across that are â€œideasâ€ rather than actual work that has been vetted and reviewed. This is so the backlog is easier to understand.","Unassigned","2026-08-24 11:43:15 Eastern Daylight Time",""
"CT-6308","https://caretracker.atlassian.net/browse/CT-6308","Provider Diagnosis Favorites Missing","Closed","","Dr Jude-Farley Pierre's diagnosis favorites have reset, and he no longer has his favorites saved. He said this happened once before. Is there a way we can recover his favorites? Do we have logs that can show us what happened or why this happened? This is the channel partner request. I logged in and I can see some favorites as the provider started to add them again manually. CPID: 12390 PCID: 12819 Group: 16239","Russell Costa","2026-08-20 16:54:32 Eastern Daylight Time",""
"CT-6303","https://caretracker.atlassian.net/browse/CT-6303","SRS ADT Out - Smart Medical - SRS Not receiving messages","Closed","","CAS-618808-S6D5F6 Some patient examples for charts that have not made it over to SRS:Â Lev Flider - #76994481 Thiemo Sow - #112784493 Claude Valery - #112796889 Nancy Knights - #112796830 Georgianna Elliott - #112797283 Benard Gabriel - #111937820","Benjamin Martelle","2026-08-20 08:24:57 Eastern Daylight Time",""
"CT-6295","https://caretracker.atlassian.net/browse/CT-6295","Dev site Aptarro timing out","Closed","","Dev & Staging sites for Aptarro saving timing out. Appears to be an issue on the Aptarro side which Bob Buckley has reached at to them May not need anything done on our side. ","Christopher Orena","2026-08-18 15:06:07 Eastern Daylight Time",""
"CT-6294","https://caretracker.atlassian.net/browse/CT-6294","In Visits on Hold, the Provider column sorting seems to be sorting on Srv Prov not Bill Provider when Bill Prov is displayed on the column","Dev Ready","","When a user sorts in Charges on Hold by Prov column, what is displayed in the column is the Bill provider on the Charge, but the column is sorting by Srv Prov. See attached screenshot. !image-20260817-175824.png|width=671,alt=""image-20260817-175824.png""!","Unassigned","2026-08-18 14:00:37 Eastern Daylight Time",""
"CT-6292","https://caretracker.atlassian.net/browse/CT-6292","CT-6292: Spike - High level estimate of requirements for Hawaii WC billing","Dev Ready","","*Overview*Â Chart Rehabilitation of Hawaii is evaluating migration to CareTracker PM and EMR. Key requirements center on Hawaii tax reimbursement workflows (S9999), ERA reconciliation, Data Dimensions compatibility, and Hawaii workers compensation billing validation.Â Weâ€™re looking to get a high-level estimate of the time it might take to deliver the below requirements. The 2 primary asks we are looking to have estimated are.. # Accommodate the ability to calculate and assign a line-level stat","Unassigned","2026-08-18 13:15:44 Eastern Daylight Time",""
"CT-6285","https://caretracker.atlassian.net/browse/CT-6285","In Charges on Hold, the Provider column sorting seems to be sorting on Srv Prov not Bill Provider when Bill Prov is displayed on the column","Dev Ready","","When a user sorts in Charges on Hold by Prov column, what is displayed in the column is the Bill provider on the Charge, but the column is sorting by Srv Prov. See attached screenshot. !image-20260817-175824.png|width=671,alt=""image-20260817-175824.png""!","Unassigned","2026-08-17 13:59:53 Eastern Daylight Time",""
"CT-6264","https://caretracker.atlassian.net/browse/CT-6264","APIs","Closed","","Moving all Epics regarding APIâ€™s into one location","Kelly Williams","2026-08-13 13:58:43 Eastern Daylight Time",""
"CT-6262","https://caretracker.atlassian.net/browse/CT-6262","Narrative Cache is Empty Error on Progress Note","Closed","","*CPID*: 12309 *PCID*: 12819 *GroupID:* 16068 *INC ID*: CAS-618026-B3H5B3 *Contact*: Vijay Kumar *Issue*: On progress note for DOS 08/10/2026 for patient 31328567 we are showing a message that says ""Warning! Narrative cache is empty!""Â *Steps to Reproduce:* Pt search 31328567>Medical Record>Progress Notes>Open note for 08/10/2026>On the top left corner of the note you can see ""Warning! Narrative cache is empty!""Â Â *Validated issue in v9.6.2026* *Note: I had Pradnya More look at the narrative and","Unassigned","2026-08-13 11:28:42 Eastern Daylight Time",""
"CT-6253","https://caretracker.atlassian.net/browse/CT-6253","Parallel CareTracker Instance - Determine Oracle Connection Selection Mechanism in .NET Gateway Layer","Closed","","h2. End Goal Determine what is required to connect IRIS to a new, parallel CareTracker Oracle database instance, while leaving all current production IRIS functionality (ADT/SIU/DFT/VXU/ORM/ORU interfaces, TouchWorks connectivity, etc.) completely untouched. This is architecture discovery for a future build, no production changes are in scope for this ticket. h2. Current Blocker The full IRIS-to-Oracle data path has been traced: {{IGX.Common.CtGateway}} -> the shared {{%DotNet Server}} External ","Unassigned","2026-08-12 11:19:51 Eastern Daylight Time",""
"CT-6252","https://caretracker.atlassian.net/browse/CT-6252","When uploading through Payment Upload lines only partially match","Dev Ready","","h3. Impact After the ERA changes were deployed, uploading ERA through the Payment Upload application causes all lines to show as partial matches in yellow instead of full matches in green. This forces the client to manually match each ERA line. h3. Expected behaviour When uploading ERA through the Payment Upload application, matching lines should show as full matches in green. h3. Actual behaviour All lines show as partial matches in yellow instead of full matches in green. h3. Steps to reproduc","Unassigned","2026-08-12 10:54:13 Eastern Daylight Time",""
"CT-6219","https://caretracker.atlassian.net/browse/CT-6219","Bulk CCDA Reconcile Steps","Dev Ready","","We need to write up a detailed SOP for PS/CS/DT teams with their role and responsibility in all of this so we can remove ourselves from the process.Â Â Data Integration will do the initial upload of the CCDAs and then will need to request that you (or someone else with access to the prod DB) runs the reconciliation. This needs to be done on a specific day for go-live and should be planned well in advance. This can be logged as a Jira task.Â Â There will need to be a test done (ideally 30 days pr","John Hobby","2026-08-10 09:11:00 Eastern Daylight Time",""
"CT-6211","https://caretracker.atlassian.net/browse/CT-6211","UI defect: Placeholder/text in the field starts from one - two spaces afterwards","Closed","","As visible in the video attached below, when you add a new hold reason. !20260807-1423-15.5391410.mp4|width=669,alt=""20260807-1423-15.5391410.mp4""!","Mauricio Valdez","2026-08-07 10:27:42 Eastern Daylight Time",""
"CT-6196","https://caretracker.atlassian.net/browse/CT-6196","Notes are not being included in the SDOH - Procedure FHIR output","Closed","",,"Unassigned","2026-08-06 12:35:05 Eastern Daylight Time",""
"CT-6178","https://caretracker.atlassian.net/browse/CT-6178","Operators without required scope sees the Edit icon Enable","Closed","","*Issue:* AC 4.b.i violation. Edit icon is incorrectly enabled for operators whose group-level access does not cover the full group scope of a C-type Single Company Hold Reason. Per AC, editing should be restricted when the operator's access does not cover the Hold Reason's scope. *Steps to reproduce:* # Log in as {{Rtest1 / Password1}} (this operator has access to CPN Nexus Billing with company Wellness Beta and all its groups: Beta-West, Beta-Central, Beta-North). # Navigate to *Customer > Hold","Unassigned","2026-08-05 09:15:08 Eastern Daylight Time",""
"CT-6160","https://caretracker.atlassian.net/browse/CT-6160","(Wait on Client) Princeton Neurological Surgery Data dump-PCID 14829 will need financials","On Hold","","This is linked to [https://caretracker.atlassian.net/browse/CT-4869|https://caretracker.atlassian.net/browse/CT-4869|smart-link]. This ticket is just for the Financial Data Export","Shrikar Kapuskar","2026-08-03 15:39:25 Eastern Daylight Time","CT-6283"
"CT-6156","https://caretracker.atlassian.net/browse/CT-6156","Migrate API endpoints to controllers","Closed","","Some of the new API use endpoints while the rest of the code uses controllers. Migrating the endpoints to use controllers and their established authentication requirements. ","Unassigned","2026-08-03 13:07:08 Eastern Daylight Time","CT-6133"
"CT-6151","https://caretracker.atlassian.net/browse/CT-6151","PDF Data Extract - Sonoran Pulmonary and Critical Care 13943","On Hold","","Please complete a full PDF export to the practiceâ€™s SFTP site. This should include all active and inactive records from 2014. ref: CAS-613511-L5X4W2","Shrikar Kapuskar","2026-08-03 08:23:03 Eastern Daylight Time",""
